slug,ipdb_id,year,approximate,cite,note
apollo-moon,6812,1972,False,https://thetastates.com/eremeka/eremekaDisplay.php?mentionOnly=1&search=yes&tag=yokomono+~+flipper+pinball,"The eremeka catalog lists ""1972 Apollo Moon by Sankyo""."
the-world-series,6069,1972,False,https://earlyarcadesjapan.blogspot.com/2022/06/the-world-series-by-sankyo.html,"Early Arcades Japan says ""The earliest mention I can find of The World Series is in 1972 [...] The World Series appears in the 1973 machine directory."" (A 1976 re-release was sold as New World Series.)"
new-big-race,6070,1972,False,https://earlyarcadesjapan.blogspot.com/2025/09/new-big-race-by-sankyo.html,"Early Arcades Japan says ""New Big Race appears in the 1973 game directory, which was printed in late 1972 [...] The 1972 print date of the machine directory is the only date we have, and the one we will use for the time being."""
asteroid-killer,3810,1979,False,https://earlyarcadesjapan.blogspot.com/2026/05/1979-asteroid-killer-by-universal.html,"The eremeka catalog and Early Arcades Japan date this ""1979 Asteroid Killer by Universal"" (flipcommons previously had 1980)."
indy-game,6774,1967,True,https://thetastates.com/eremeka/eremekaDisplay.php?mentionOnly=1&search=yes&tag=yokomono+~+flipper+pinball,"The eremeka catalog dates this to approximately 1967 (marked ~, ""~1967 Indy Game by Komaya"")."
lets-go-moon,6773,1968,True,https://thetastates.com/eremeka/eremekaDisplay.php?mentionOnly=1&search=yes&tag=yokomono+~+flipper+pinball,"The eremeka catalog dates this to approximately 1968 (marked ~, ""~1968 Let's Go Moon! by Komaya"")."
ultra-attack,6068,1972,True,https://earlyarcadesjapan.blogspot.com/2024/03/1972-ultra-attack-by-nihon-gorakuki.html,"The eremeka catalog dates this to approximately 1972 (marked ~), co-credited to Nihon Gorakuki and Nihon Tenbo."
