ipdb_manufacturer_id,ce_slug,year_start,year_end,cite,note
130,genco-manufacturing-company,1931,1958,https://en.wikipedia.org/wiki/List_of_pinball_manufacturers,"Wikipedia's ""List of pinball manufacturers"" lists ""Genco (1931-1958)."""
117,exhibit-supply-company,1901,1979,https://en.wikipedia.org/wiki/List_of_pinball_manufacturers,"Wikipedia's ""List of pinball manufacturers"" lists ""Exhibit Supply Company (1901-1979; pinball manufacturing 1932-1957)."""
162,j-h-keeney-and-company-incorporated,1934,1964,https://www.jukeboxhistory.info/keeney/history.html,"American Jukebox History says ""The firm of Keeney and Sons was terminated in November, 1933, and in January, 1934, Jack Keeney organized his own company [...] as J.H. Keeney and Company,"" and that ""The last pin game by J.H. Keeney & Co. was the Keeney's 1964 'Arrowhead' which was first and only listed on August 29, 1964."""
304,stoner-manufacturing-company,1931,1941,https://aurorahistory.org/made-in-aurora-davy-jones-pinball-machine/,"Aurora Historical Society says ""The family-operated Stoner Manufacturing Corporation began in 1931 as a maker of pinball machines, producing nearly 100 different models throughout the decade,"" that ""In 1941, they retooled and produced munitions for the war effort during World War II,"" and that ""After the war, Stoner became a leading producer of coin-operated vending machines [...]."""
